iter	Passed	Remaining
0	48	48394
1	49	24842
2	51	17015
3	52	13124
4	54	10907
5	56	9304
6	57	8186
7	58	7311
8	61	6769
9	62	6162
10	63	5672
11	64	5279
12	64	4928
13	66	4687
14	67	4435
15	68	4211
16	69	4022
17	70	3843
18	71	3678
19	72	3563
20	73	3426
21	74	3304
22	75	3188
23	76	3116
24	77	3038
25	79	2972
26	80	2886
27	80	2809
28	82	2748
29	83	2684
30	83	2621
31	85	2583
32	86	2528
33	87	2477
34	88	2432
35	89	2385
36	89	2339
37	90	2295
38	91	2255
39	92	2217
40	93	2180
41	94	2149
42	95	2116
43	95	2083
44	96	2053
45	97	2022
46	98	1996
47	99	1967
48	100	1942
49	101	1929
50	102	1913
51	104	1899
52	105	1892
53	107	1878
54	108	1858
55	109	1837
56	109	1818
57	111	1811
58	112	1798
59	114	1787
60	115	1776
61	116	1768
62	118	1758
63	119	1742
64	120	1730
65	121	1721
66	123	1720
67	124	1705
68	125	1698
69	127	1691
70	128	1682
71	130	1684
72	132	1680
73	134	1682
74	136	1677
75	138	1681
76	139	1671
77	139	1654
78	140	1637
79	140	1621
80	141	1605
81	141	1589
82	142	1574
83	143	1559
84	143	1542
85	143	1528
86	144	1512
87	144	1498
88	145	1485
89	145	1472
90	146	1459
91	146	1447
92	147	1435
93	147	1423
94	148	1412
95	148	1400
96	149	1389
97	149	1378
98	150	1367
99	151	1366
100	152	1356
101	152	1343
102	153	1333
103	153	1323
104	154	1313
105	154	1304
106	155	1294
107	155	1285
108	156	1276
109	156	1267
110	157	1259
111	157	1250
112	158	1241
113	158	1232
114	159	1224
115	159	1215
116	159	1207
117	160	1199
118	160	1191
119	161	1184
120	162	1181
121	163	1174
122	163	1165
123	164	1158
124	164	1152
125	165	1145
126	165	1138
127	165	1130
128	166	1124
129	167	1117
130	167	1113
131	168	1107
132	168	1100
133	169	1094
134	169	1088
135	170	1082
136	170	1076
137	171	1070
138	171	1064
139	172	1058
140	172	1053
141	173	1047
142	174	1043
143	175	1040
144	175	1036
145	176	1033
146	177	1029
147	178	1026
148	179	1022
149	179	1019
150	180	1015
151	181	1011
152	182	1008
153	182	1005
154	183	1001
155	184	998
156	185	994
157	186	991
158	186	988
159	187	985
160	188	981
161	189	978
162	189	975
163	190	972
164	191	969
165	192	966
166	193	964
167	194	960
168	194	958
169	195	955
170	196	952
171	197	951
172	198	947
173	199	944
174	200	943
175	201	942
176	202	941
177	203	941
178	204	939
179	206	939
180	206	934
181	208	935
182	209	935
183	210	934
184	211	933
185	213	932
186	214	931
187	215	930
188	216	929
189	217	928
190	219	928
191	220	927
192	221	926
193	222	926
194	224	925
195	225	924
196	226	924
197	227	923
198	229	922
199	229	919
200	230	916
201	231	913
202	231	910
203	232	906
204	232	903
205	233	900
206	234	897
207	234	894
208	235	891
209	236	888
210	236	885
211	237	882
212	238	879
213	238	876
214	239	873
215	239	870
216	240	868
217	241	865
218	241	862
219	242	859
220	243	856
221	243	854
222	244	851
223	244	848
224	245	845
225	246	842
226	246	839
227	247	837
228	247	834
229	248	831
230	249	829
231	249	826
232	250	823
233	250	821
234	251	818
235	252	816
236	252	813
237	253	811
238	253	808
239	254	805
240	255	803
241	255	800
242	256	798
243	256	796
244	257	793
245	258	791
246	258	788
247	259	786
248	259	784
249	260	781
250	261	779
251	261	776
252	262	774
253	262	772
254	263	769
255	264	767
256	264	765
257	265	763
258	266	761
259	266	758
260	267	756
261	267	754
262	268	752
263	268	749
264	269	747
265	270	745
266	270	743
267	271	741
268	271	739
269	272	737
270	273	735
271	273	732
272	274	730
273	274	728
274	275	726
275	276	724
276	276	722
277	277	720
278	278	718
279	278	716
280	279	714
281	279	712
282	280	710
283	281	708
284	281	706
285	282	704
286	282	702
287	283	700
288	284	698
289	284	696
290	285	695
291	285	693
292	286	691
293	287	689
294	287	687
295	288	685
296	288	683
297	289	682
298	290	680
299	290	678
300	291	676
301	291	674
302	292	672
303	293	671
304	293	669
305	294	667
306	294	665
307	295	664
308	296	662
309	296	660
310	297	658
311	297	657
312	298	655
313	299	653
314	299	651
315	300	650
316	300	648
317	301	646
318	302	644
319	302	643
320	303	641
321	303	640
322	304	638
323	305	636
324	305	635
325	306	633
326	306	631
327	307	630
328	308	628
329	308	626
330	309	625
331	309	623
332	310	622
333	311	620
334	311	618
335	312	617
336	312	615
337	313	613
338	314	612
339	314	610
340	315	609
341	315	607
342	316	606
343	317	605
344	317	603
345	318	602
346	319	600
347	319	599
348	320	598
349	321	596
350	321	595
351	323	594
352	324	594
353	325	593
354	326	593
355	327	592
356	328	591
357	328	589
358	329	588
359	331	588
360	331	586
361	332	585
362	333	584
363	334	584
364	334	582
365	335	580
366	335	579
367	336	577
