iter	Passed	Remaining
0	48	48537
1	51	25754
2	54	18106
3	57	14227
4	60	11970
5	63	10472
6	65	9253
7	66	8251
8	68	7591
9	71	7081
10	74	6674
11	77	6385
12	80	6106
13	82	5826
14	85	5592
15	85	5275
16	90	5209
17	93	5091
18	94	4854
19	97	4760
20	98	4595
21	100	4446
22	103	4382
23	104	4260
24	106	4134
25	108	4075
26	110	3993
27	114	3992
28	118	3973
29	122	3954
30	126	3948
31	129	3906
32	132	3874
33	134	3822
34	138	3810
35	140	3774
36	141	3682
37	141	3594
38	142	3509
39	142	3430
40	143	3353
41	143	3280
42	144	3210
43	144	3145
44	145	3082
45	145	3022
46	146	2963
47	146	2907
48	147	2853
49	147	2802
50	147	2753
51	148	2706
52	149	2663
53	149	2621
54	150	2581
55	150	2543
56	151	2506
57	152	2470
58	152	2437
59	153	2404
60	154	2372
61	154	2340
62	155	2310
63	155	2280
64	156	2252
65	157	2225
66	157	2197
67	158	2171
68	159	2146
69	159	2121
70	160	2097
71	160	2074
72	161	2051
73	162	2030
74	164	2025
75	165	2015
76	166	1994
77	168	1989
78	169	1979
79	170	1964
80	171	1947
81	173	1940
82	173	1917
83	173	1897
84	174	1877
85	174	1858
86	175	1839
87	175	1821
88	177	1812
89	178	1800
90	178	1786
91	179	1772
92	180	1761
93	181	1747
94	182	1735
95	182	1723
96	184	1714
97	184	1702
98	186	1693
99	186	1682
100	187	1670
101	189	1665
102	189	1652
103	190	1638
104	190	1624
105	191	1611
106	191	1598
107	192	1588
108	192	1575
109	193	1563
110	193	1551
111	194	1539
112	194	1528
113	195	1516
114	195	1504
115	195	1493
116	196	1481
117	196	1470
118	197	1459
119	197	1448
120	197	1438
121	198	1428
122	198	1417
123	199	1407
124	199	1398
125	200	1388
126	200	1378
127	200	1369
128	201	1359
129	201	1350
130	202	1341
131	202	1333
132	203	1324
133	203	1315
134	204	1307
135	205	1303
136	205	1295
137	206	1287
138	206	1279
139	207	1271
140	207	1263
141	207	1254
142	208	1247
143	208	1239
144	208	1232
145	209	1224
146	209	1218
147	210	1210
148	210	1204
149	211	1197
150	211	1191
151	212	1184
152	212	1177
153	213	1171
154	213	1165
155	214	1159
156	215	1155
157	215	1150
158	216	1143
159	216	1137
160	217	1131
161	217	1125
162	218	1119
163	218	1113
164	218	1107
165	220	1106
166	221	1102
167	221	1099
168	222	1095
169	223	1091
170	224	1088
171	225	1084
172	226	1081
173	227	1077
174	227	1074
175	228	1071
176	229	1068
177	230	1064
178	231	1061
179	232	1057
180	233	1054
181	234	1051
182	234	1048
183	235	1045
184	236	1042
185	237	1039
186	238	1036
187	239	1032
188	239	1029
189	240	1026
190	241	1021
191	241	1017
192	242	1012
193	242	1007
194	243	1003
195	243	998
196	243	994
197	244	989
198	244	985
199	245	981
200	245	977
201	246	972
202	246	968
203	247	964
204	247	960
205	248	956
206	248	952
207	249	948
208	249	945
209	251	945
210	252	942
211	253	941
212	254	938
213	254	935
214	255	931
215	255	927
216	256	923
217	256	920
218	256	916
219	257	912
220	257	909
221	258	905
222	258	901
223	259	898
224	259	894
225	260	891
226	260	888
227	261	884
228	261	881
229	262	877
230	262	874
231	263	871
232	263	867
233	264	864
234	264	860
235	264	857
236	265	854
237	265	850
238	266	847
239	266	844
240	267	841
241	267	838
242	268	835
243	268	832
244	269	828
245	269	825
246	269	822
247	270	819
248	270	816
249	271	813
250	271	810
251	272	807
252	272	804
253	273	801
254	273	799
255	274	797
256	275	795
257	276	794
258	276	792
259	277	790
260	278	788
261	279	786
262	280	784
263	280	782
264	281	780
265	282	779
266	283	777
267	284	775
268	284	773
269	285	772
270	286	770
271	287	768
272	287	766
273	288	764
274	289	763
275	290	761
276	291	760
277	292	760
278	293	759
279	294	758
280	295	757
281	297	756
282	298	755
283	299	755
284	300	754
285	302	753
286	302	752
287	303	751
288	305	750
289	306	750
290	307	748
291	307	746
292	308	744
293	309	742
294	310	740
295	310	739
296	311	737
297	312	735
298	312	733
299	313	731
300	314	729
301	314	727
302	315	725
303	316	723
304	316	722
305	317	720
